,x,y,label
0,0.5379335812300111,-0.0385322383394439,win
1,0.33694557112720097,-0.4926235667432342,loss
2,0.17826403068759472,-0.10571949588783996,draw
3,0.09700974032779228,-0.39358563955727527,draw
4,0.8084357665127996,-0.14982762331646557,loss
5,-0.12373923871500664,-0.35905653455443615,draw
6,-1.5323118319701712,0.47374509831043216,win
7,1.1199276522333173,0.1317143909081317,loss
8,0.4557574459352822,0.7912263593613513,loss
9,-1.487408671511254,0.0833347620061897,win
10,-0.9727497180952468,0.5809091225711034,win
11,1.1786220279111388,0.7119932979818732,loss
12,-1.2551070155395723,-0.2253101469072277,win
13,0.7213894995992445,0.1862187673676287,loss
14,1.3888214484179568,0.396874625892363,loss
15,0.21905791393338966,-0.00022270866385814444,loss
16,1.1855354231312218,0.029476789929537825,win
17,0.559433330509415,-0.2955028607019355,draw
18,0.5525449773613501,-0.5836693330442296,loss
19,-0.418063121591385,-0.6939632969353362,win
20,0.55125762285243,0.8299002591593815,draw
21,-1.0918589228325175,-0.2733336511814542,win
22,2.092154983140325,0.2605580878048707,loss
23,0.3690062059533166,-0.7382585378132022,draw
24,0.6254178245761598,-0.6800788819019268,draw
25,-1.9746577031179406,0.5097501130979133,win
26,-1.4230603179037342,-0.26245276852275984,win
27,2.313970276333364,0.7945192799810831,loss
28,0.1364953573453788,-0.4830784740868001,draw
29,-1.7151466397217383,0.866195808470117,win
30,0.7512229901992002,2.257949724357448,loss
31,-1.1856913881700053,0.3472100689386005,win
32,0.280775010049408,-0.5087745746221514,loss
33,0.1826679639548776,-0.5642486669152642,draw
34,1.871531693185115,0.11457121612864571,loss
35,0.370921454121256,-0.7159359077495483,win
36,0.04631256689646992,-0.6304976445180617,loss
37,-0.8134241938585152,0.677748931575773,win
38,1.2923330760829783,0.6249110990090492,draw
39,1.648908748189021,0.016575473581376985,loss
40,0.3647753420799256,1.322577040377604,loss
41,-0.425094738173898,-0.5651155207227636,win
42,3.114716094987736,1.054527108503329,loss
43,0.45402161721600565,-0.2226677492059359,win
44,-2.445867916380535,0.6710217468403109,win
45,-1.1528287551389849,-0.21600024872071275,win
46,1.7267895609550605,0.6420078827059552,win
47,-0.8219561216440099,-0.5854985201438221,win
48,-0.3275108396758002,-0.707118255118278,win
49,-1.547994028732593,0.15176024834299212,win
50,-1.4225132911048772,0.4643700936248398,win
51,0.879021747211278,-0.09524166942297489,loss
52,0.10247725420120674,-0.6852777482129907,loss
53,-0.08112067395686122,-0.855202962779676,draw
54,1.1421447291363598,-0.13737758215973178,win
55,1.929884888243137,0.8247928955061601,loss
56,-2.6889374968979936,0.6974352010694493,win
57,-0.11210048743843079,1.3435318880346026,win
58,0.6908018275812013,-0.3745524908334976,loss
59,0.04468958991820541,-0.8162502886196228,win
60,-0.2507645917979297,-0.05503646120022534,draw
61,0.8945253629990244,0.620084486204843,loss
62,-0.6002737195967387,-1.0014970043179052,draw
63,0.27120880015630905,-0.7986042744510218,draw
64,-0.2755795287120076,-0.6006354863872905,draw
65,2.4202789222911765,0.07752455332839313,loss
66,-1.9934148309669344,0.4056899373494351,draw
67,0.399907231154185,-0.39020373886032855,draw
68,0.193031067421978,1.7429455195573396,win
69,1.5849034173719934,0.35530585194493525,loss
70,-1.6438528091017013,0.47152509448686464,win
71,-0.6222144150857228,-1.0394214280807317,win
72,-0.9077486441093933,0.8717152275919492,win
73,-1.2816522938093777,1.4187379624350456,draw
74,0.8271875798424015,0.34370453816739266,draw
75,-0.7517185017424477,-0.6520123211556371,win
76,-0.280761865847358,-0.4178303371204843,loss
77,-0.04316707745489128,-1.0824926096533192,loss
78,-1.6430478126688222,0.19859011843757715,win
79,0.25511309802738164,1.1506162803456352,draw
80,1.8303720602910845,0.19220650575303128,draw
81,0.6194510501866355,-1.093732598513261,loss
82,-0.20284399001210993,-0.8076528806794407,draw
83,0.2696130718107867,-0.3655212642533763,win
84,0.8382221377196549,-0.26854329122297727,win
85,-0.4762175058888548,-1.054102742187703,win
86,-0.801847841130514,0.45619693292498376,draw
87,-1.386617655862556,0.5394031873462743,win
88,-0.719417554343631,1.0243977399919733,draw
89,-0.6670579050325913,1.636975558032055,win
90,2.1156125271919004,0.3335604158693345,loss
91,-0.6326845280993192,0.43188201507365526,draw
92,-0.17855268423656032,-0.5520078654243209,win
93,2.0702478558905244,0.6194009016665962,loss
94,-0.4736680952887582,-0.952144606643419,win
95,-2.0188930059363455,0.27249452100063076,draw
96,1.6638878017586962,0.37674242000013836,loss
97,-0.8684927408960272,-0.27901401682660193,win
98,1.1778718067239629,0.7337508105791795,loss
99,-0.709477592656135,-0.6267224629645154,win
100,0.05345061917991317,-0.3085596130515703,win
101,-1.812652185151719,0.5688781691470498,draw
102,0.39924116244696306,-0.9224770061584013,draw
103,-1.169968810793504,-0.7610210826162089,loss
104,-1.4873213996784087,0.8340413662550449,win
105,-0.18648547301907212,1.2620474893653857,draw
106,-1.6336421415820241,1.0902673966487468,win
107,1.7824993344950664,-0.6079804898207479,win
108,1.1219521972522533,-0.14374843128081305,loss
109,0.6076677149520018,-0.7328499065003026,loss
110,-0.15669886043926176,1.2169598542147142,draw
111,0.18316540857458366,-0.6014416119283427,win
112,-0.6638441916524583,-0.5163342724959077,draw
113,1.7717015136384398,0.5212049473587841,loss
114,0.4052220777476091,-1.2868604920278255,win
115,1.4929051694339648,0.5426183334067664,draw
116,-0.338442339803693,-0.4806333752404285,loss
117,-0.8569847807946446,0.3547606327355068,win
118,1.9989634485517365,0.530492201886914,loss
119,-0.8693284019463876,-0.6456311921845989,win
