,FPR,TPR
0,0.0,0.0
1,0.0,0.008
2,0.0,0.048
3,0.006896551724137931,0.048
4,0.006896551724137931,0.144
5,0.013793103448275862,0.144
6,0.013793103448275862,0.224
7,0.020689655172413793,0.224
8,0.020689655172413793,0.296
9,0.027586206896551724,0.296
10,0.027586206896551724,0.36
11,0.034482758620689655,0.36
12,0.034482758620689655,0.368
13,0.05517241379310345,0.368
14,0.05517241379310345,0.432
15,0.06896551724137931,0.432
16,0.06896551724137931,0.464
17,0.07586206896551724,0.464
18,0.07586206896551724,0.48
19,0.08275862068965517,0.48
20,0.08275862068965517,0.512
21,0.0896551724137931,0.512
22,0.0896551724137931,0.536
23,0.09655172413793103,0.536
24,0.09655172413793103,0.552
25,0.12413793103448276,0.552
26,0.12413793103448276,0.568
27,0.14482758620689656,0.568
28,0.14482758620689656,0.584
29,0.15862068965517243,0.584
30,0.15862068965517243,0.632
31,0.1724137931034483,0.632
32,0.1724137931034483,0.648
33,0.19310344827586207,0.648
34,0.19310344827586207,0.672
35,0.20689655172413793,0.672
36,0.20689655172413793,0.68
37,0.21379310344827587,0.68
38,0.21379310344827587,0.688
39,0.2206896551724138,0.688
40,0.2206896551724138,0.696
41,0.22758620689655173,0.696
42,0.22758620689655173,0.704
43,0.2413793103448276,0.704
44,0.2413793103448276,0.728
45,0.2482758620689655,0.728
46,0.2482758620689655,0.752
47,0.25517241379310346,0.752
48,0.25517241379310346,0.768
49,0.2827586206896552,0.768
50,0.2827586206896552,0.776
51,0.2896551724137931,0.776
52,0.2896551724137931,0.808
53,0.32413793103448274,0.808
54,0.32413793103448274,0.832
55,0.3448275862068966,0.832
56,0.3448275862068966,0.84
57,0.3586206896551724,0.84
58,0.3586206896551724,0.856
59,0.3793103448275862,0.856
60,0.3793103448275862,0.864
61,0.38620689655172413,0.864
62,0.38620689655172413,0.872
63,0.41379310344827586,0.872
64,0.41379310344827586,0.888
65,0.43448275862068964,0.888
66,0.43448275862068964,0.904
67,0.4482758620689655,0.904
68,0.4482758620689655,0.912
69,0.45517241379310347,0.912
70,0.45517241379310347,0.92
71,0.4689655172413793,0.92
72,0.4689655172413793,0.936
73,0.4827586206896552,0.936
74,0.4827586206896552,0.952
75,0.5379310344827586,0.952
76,0.5379310344827586,0.96
77,0.5724137931034483,0.96
78,0.5724137931034483,0.968
79,0.6551724137931034,0.968
80,0.6551724137931034,0.976
81,0.7379310344827587,0.976
82,0.7379310344827587,0.984
83,0.7724137931034483,0.984
84,0.7724137931034483,0.992
85,0.8827586206896552,0.992
86,0.8827586206896552,1.0
87,1.0,1.0
